src,srcp,dst,dstp,pkt,bytes
165.23.62.11,3389,212.242.131.222,49607,212,94259
212.242.131.222,49506,165.23.62.11,3389,15,3712
212.242.131.222,49596,162.83.63.21,3389,142,39779
212.242.131.222,49503,165.23.62.11,3389,59,19327
212.242.131.222,49607,165.23.62.11,3389,173,51499
165.23.62.11,3389,212.242.131.222,49502,27,11812
165.23.62.11,3389,212.242.131.222,49608,213,220233
162.83.63.21,3389,212.242.131.222,49597,164,170249
212.242.131.222,49612,162.83.63.21,3389,54,17967
162.83.63.21,3389,212.242.131.222,49603,12,5113
162.83.63.21,3389,212.242.131.222,49600,7,589
165.23.62.11,3389,212.242.131.222,49613,150,131469
165.23.62.11,3389,212.242.131.222,49503,55,31254
212.242.131.222,49504,165.23.62.11,3389,18,2971
165.23.62.11,3389,212.242.131.222,49504,21,11971
162.83.63.21,3389,212.242.131.222,49611,187,191815
212.242.131.222,49597,162.83.63.21,3389,118,29303
162.83.63.21,3389,212.242.131.222,49599,4,391
165.23.62.11,3389,212.242.131.222,49507,67,36502
212.242.131.222,49502,165.23.62.11,3389,28,7477
212.242.131.222,49600,162.83.63.21,3389,9,2890
212.242.131.222,49599,162.83.63.21,3389,7,1710
212.242.131.222,49507,165.23.62.11,3389,73,21402
162.81.66.152,3389,212.242.131.222,49682,24,13350
168.88.66.231,3389,212.242.131.222,49606,572,648242
162.81.66.152,3389,212.242.131.222,49683,26,14022
212.242.131.222,49642,162.81.66.152,3389,58,10412
162.81.66.152,3389,212.242.131.222,49681,66,60620
212.242.131.222,49645,162.81.66.152,3389,24,6220
212.242.131.222,49679,162.81.66.152,3389,26,6632
168.88.66.68,3389,212.242.131.222,49699,50,20666
168.88.66.96,3389,212.242.131.222,49485,16,2750
212.242.131.222,49715,162.81.66.152,3389,2016,214726
168.88.66.96,3389,212.242.131.222,49487,8,778
212.242.131.222,49681,162.81.66.152,3389,48,13048
162.81.66.152,3389,212.242.131.222,49693,130,124552
212.242.131.222,49688,168.88.66.68,3389,2827,652208
212.242.131.222,49682,162.81.66.152,3389,30,6928
212.242.131.222,49680,162.81.66.152,3389,26,6632
168.88.66.68,3389,212.242.131.222,49687,12,7128
168.88.66.96,3389,212.242.131.222,49486,8,778
212.242.131.222,49643,162.81.66.152,3389,200,23176
168.88.66.68,3389,212.242.131.222,49700,24,13198
212.242.131.222,49695,162.81.66.152,3389,24,8364
